Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,716.767029,719.932983,634.333008,657.267029,578.805298,70449958
2014-02-01,654.000000,743.132996,643.400024,739.767029,651.456726,47356159
2014-03-01,733.700012,868.166992,724.432983,847.932983,746.710327,78225900
2014-04-01,848.732971,925.666992,828.000000,862.732971,759.743591,65367255
2014-05-01,862.732971,1084.900024,834.132996,1030.329956,907.333557,82454584
2014-06-01,1076.599976,1184.400024,1026.000000,1134.469971,999.041870,61507253
2014-07-01,1141.329956,1177.270020,999.533020,1001.929993,882.323914,69365732
2014-08-01,991.932983,1038.599976,960.000000,1017.669983,896.184814,55389078
2014-09-01,1023.330017,1088.469971,954.432983,972.166992,868.581726,51637146
2014-10-01,972.166992,1109.000000,934.000000,1103.630005,986.037170,43140838
2014-11-01,1107.329956,1128.599976,1062.329956,1092.900024,976.450439,41043475
2014-12-01,1087.469971,1103.329956,966.799988,996.432983,890.262146,53363230
2015-01-01,995.867004,1166.670044,990.367004,1133.699951,1012.903259,51699414
2015-02-01,1130.670044,1176.670044,1021.429993,1172.630005,1047.685303,67965962
2015-03-01,1188.000000,1262.530029,1075.630005,1146.430054,1024.276855,66711933
2015-04-01,1147.770020,1213.300049,1083.729980,1087.530029,971.652832,43850814
2015-05-01,1087.530029,1113.170044,1029.069946,1102.969971,985.447571,53082264
2015-06-01,1116.000000,1211.329956,1095.329956,1188.530029,1061.891113,58778864
2015-07-01,1188.630005,1258.670044,1158.569946,1194.170044,1066.930298,48799042
2015-08-01,1140.030029,1229.469971,1050.000000,1068.599976,954.739624,62260717
2015-09-01,1053.329956,1086.400024,941.567017,977.500000,886.717651,68579121
2015-10-01,988.666992,1073.329956,933.333008,940.500000,866.328003,58296005
2015-11-01,933.333008,936.000000,884.000000,916.400024,844.128662,62322675
2015-12-01,916.666992,921.932983,843.000000,850.299988,783.241516,57536172
2016-01-01,852.666992,860.666992,712.732971,734.432983,676.512329,79874066
2016-02-01,750.000000,783.299988,677.367004,717.333008,660.760925,81882122
2016-03-01,724.666992,832.666992,720.666992,811.132996,747.163452,65912958
2016-04-01,808.000000,859.166992,785.200012,836.400024,770.437866,43553243
2016-05-01,830.666992,997.632996,815.533020,982.367004,904.893250,77240355
2016-06-01,980.033020,1011.330017,934.000000,997.666992,918.986572,58085438
2016-07-01,1003.200012,1076.670044,1000.469971,1039.229980,957.271667,45999099
2016-08-01,1039.369995,1057.329956,946.132996,1008.630005,929.084961,53858243
2016-09-01,1008.669983,1030.630005,941.000000,955.432983,896.415649,41460716
2016-10-01,958.700012,1013.330017,954.200012,987.132996,926.157532,31746045
2016-11-01,987.333008,987.367004,863.400024,921.833008,864.891113,74641213
2016-12-01,924.267029,935.000000,868.333008,899.400024,843.843811,31783043
2017-01-01,904.033020,980.166992,899.432983,964.166992,904.610168,38318858
